"term","Y2","Y3","Y4","Y5","OR_Y2","OR_Y3","OR_Y4","OR_Y5"
"GEN_01.L",0.780104306658763,0.762730430491139,0.783915496081128,1.33199056902636,2.18169981944889,2.14412261303978,2.19003055564661,3.78857731133336
"GEN_01.Q",0.0890383486865106,0.103491264518533,0.141972785116959,-0.604182157811128,1.09312257533751,1.10903610535841,1.15254528172514,0.546521212019142
"GEN_01.C",0.199434192713083,0.19931962131329,0.0190660862335175,-0.0198897270450625,1.22071187505112,1.22057202439445,1.01924900471947,0.980306768670775
"GEN_01^4",-0.0368013331285184,-0.0321737240768284,-0.0153430123505742,0.0339280008044985,0.963867604890682,0.968338343781268,0.984774091987346,1.03451012015027
"GEN_02.L",-0.103909545398826,-0.0627418223586937,-0.104638240732772,-0.338495268343526,0.901306821083091,0.939185919196148,0.900650282245559,0.712842152305093
"GEN_02.Q",-0.114103521321642,-0.0883830422704541,-0.179019167337418,0.141949409986336,0.892165592940419,0.915410168770186,0.836089873626731,1.1525183411435
"GEN_02.C",-0.221130840026075,-0.269424139077742,-0.0843064028949025,0.184253912478157,0.801611790520881,0.763819221355146,0.919149582851546,1.20232106866392
"GEN_02^4",-0.267956234914198,-0.184981895385409,-0.342198866795716,-0.238401487970193,0.764941258090091,0.831119330811079,0.710206954083359,0.787886300712938
"DPSDSF.L",0.348320039340526,0.28913741925132,0.345568072832567,0.347621115389124,1.41668557231192,1.33527520844083,1.41279226065336,1.41569576277492
"DPSDSF.Q",0.0243385576980272,0.103427417405786,0.624531559502329,-0.799792031465063,1.02463715797213,1.10896529886557,1.86737100031482,0.449422420121211
"DPSDSF.C",-0.171570683637635,0.0900107643352995,0.392139381171666,-0.129390009472768,0.842340726209077,1.09418606182747,1.48014400123062,0.878631224213232
"DPSDSF^4",-0.141571050299926,-0.0923570679866793,-0.616484474017555,0.653586274863503,0.867993502195297,0.911779524134367,0.539838923347945,1.92242281791492
"DPSDSF^5",-0.167682038532903,-0.116362102579932,0.648309748508522,-0.80680534322923,0.845622667367103,0.890152838293494,1.91230581803193,0.44628150754885
"DPSDSF^6",-0.690241948141449,-0.630438561425111,-1.88668848888572,-1.21416337623377,0.501454728348022,0.53235827799848,0.151572914060214,0.296958352812151
